action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,signal_type,close_time,close_price,pnl,close_reason
open,short,1739893500000,95501.6,0.0014260066884568812,27.23718407166674,96621.73571428572,373.37857142856956,死叉,,,,
close,short,1739893500000,95501.6,0.0014260066884568812,25.502878470247275,,,,1739975400000.0,96621.73571428572,-1.7343056014194662,止损
open,long,1740068100000,97652.2,0.0013058015318777906,25.502878470247275,96579.35714285714,357.61428571428405,二次金叉,,,,
close,long,1740068100000,97652.2,0.0013058015318777906,23.975144691497917,,,,1740163500000.0,96579.35714285714,-1.5277337787493577,止损
open,short,1740213000000,96167.3,0.001246533109045274,23.975144691497917,96510.60714285714,114.43571428571366,二次死叉,,,,
close,short,1740213000000,96167.3,0.001246533109045274,23.42711127603719,,,,1740218400000.0,96510.60714285714,-0.5480334154607245,止损
open,short,1740273300000,96455.7,0.0012143974527185637,23.42711127603719,96681.32142857142,75.20714285714244,死叉,,,,
close,short,1740273300000,96455.7,0.0012143974527185637,24.132368975196805,,,,1740312900000.0,95778.83571428571,0.7052576991596146,固定止盈
open,short,1740345300000,95648.6,0.0012615118765563116,24.132368975196805,95950.10000000002,100.50000000000311,二次死叉,,,,
close,short,1740345300000,95648.6,0.0012615118765563116,23.631171126623684,,,,1740351600000.0,95950.10000000002,-0.5011978485731212,止损
open,short,1740384900000,95396.7,0.0012385738252279003,23.631171126623684,95949.75,184.34999999999854,二次死叉,,,,
close,short,1740384900000,95396.7,0.0012385738252279003,22.82767952032125,,,,1740388500000.0,95949.75,-0.8034916063024333,止损
open,short,1740393000000,95500.4,0.0011951614611206472,22.82767952032125,96257.12857142856,252.24285714285466,二次死叉,,,,
close,short,1740393000000,95500.4,0.0011951614611206472,25.4281362172582,,,,1740434400000.0,93230.2142857143,2.6004566969369494,固定止盈
open,short,1740559500000,88434.3,0.001437685163859396,25.4281362172582,89307.08571428571,290.92857142857036,死叉,,,,
close,short,1740559500000,88434.3,0.001437685163859396,29.06725094075187,,,,1740579300000.0,85815.94285714287,3.6391147234936683,固定止盈
open,short,1740672000000,85550.1,0.0016988437734585856,29.06725094075187,87417.55714285716,622.4857142857165,死叉,,,,
close,short,1740672000000,85550.1,0.0016988437734585856,38.44422728098802,,,,1740709800000.0,79947.72857142855,9.376976340236148,固定止盈
open,short,1740924900000,85380.0,0.0022513602296198184,38.44422728098802,86054.33571428571,224.77857142857206,死叉,,,,
close,short,1740924900000,85380.0,0.0022513602296198184,36.733074449723674,,,,1740928500000.0,86054.33571428571,-1.711152831264345,止损
open,long,1741001400000,92546.5,0.0019845739411930045,36.733074449723674,91005.25,513.749999999998,二次金叉,,,,
close,long,1741001400000,92546.5,0.0019845739411930045,33.49221385290477,,,,1741012200000.0,91005.25,-3.2408605968189046,止损
open,long,1741195800000,89699.9,0.0018669036338337488,33.49221385290477,87024.69285714284,891.7357142857155,二次金叉,,,,
