action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,close_time,close_price,pnl,close_reason
close,short,1738855800000,97140.3,0.0033189221283125565,63.17289481784175,,,1738896300000.0,97534.2,-1.3073234263422966,信号平仓
open,short,1738913400000,96774.0,0.0032639394268006777,63.17289481784175,97376.4857142857,301.2428571428557,,,,
close,short,1738913400000,96774.0,0.0032639394268006777,61.206417940900465,,,1738923300000.0,97376.4857142857,-1.9664768769412881,止损
open,short,1738956600000,96971.9,0.0031558842273328907,61.206417940900465,98013.14285714286,520.6214285714294,,,,
close,short,1738956600000,96971.9,0.0031558842273328907,63.17852999456077,,,1739038500000.0,96347.0,1.972112053660305,信号平仓
open,short,1739101500000,96511.2,0.0032731190781256875,63.17852999456077,96843.72857142857,166.26428571428445,,,,
close,short,1739101500000,96511.2,0.0032731190781256875,62.09012438339603,,,1739145600000.0,96843.72857142857,-1.0884056111647362,止损
open,short,1739206800000,96944.1,0.0032023673634288233,62.09012438339603,97815.52857142859,435.71428571428675,,,,
close,short,1739206800000,96944.1,0.0032023673634288233,59.29948996669374,,,1739232900000.0,97815.52857142859,-2.7906344167022867,止损
open,short,1739277900000,97726.2,0.0030339606966552344,59.29948996669374,98108.67142857143,191.2357142857145,,,,
close,short,1739277900000,97726.2,0.0030339606966552344,63.943877001133586,,,1739347200000.0,96195.4,4.644387034439841,信号平仓
open,short,1739424600000,96701.6,0.003306247104553264,63.943877001133586,97156.77142857143,227.58571428571304,,,,
close,short,1739424600000,96701.6,0.003306247104553264,65.03857541745118,,,1739481300000.0,96370.5,1.094698416317605,信号平仓
open,short,1739538900000,96459.1,0.0033713032475656103,65.03857541745118,96806.35714285714,173.62857142856956,,,,
close,short,1739538900000,96459.1,0.0033713032475656103,63.867866283996555,,,1739539800000.0,96806.35714285714,-1.1707091334546282,止损
open,short,1739605500000,97312.4,0.0032815893084538333,63.867866283996555,97550.32857142856,118.96428571428467,,,,
close,short,1739605500000,97312.4,0.0032815893084538333,63.08708242782088,,,1739610000000.0,97550.32857142856,-0.7807838561756737,止损
open,short,1739639700000,97378.0,0.0032392882595566187,63.08708242782088,97682.1,152.04999999999978,,,,
close,short,1739639700000,97378.0,0.0032392882595566187,62.24940248389952,,,1739655900000.0,97636.6,-0.8376799439213605,信号平仓
open,short,1739675700000,97433.1,0.0031944689476112085,62.24940248389952,97624.54285714286,95.72142857142899,,,,
close,short,1739675700000,97433.1,0.0031944689476112085,61.6378442215147,,,1739684700000.0,97624.54285714286,-0.6115582623848285,止损
open,short,1739808000000,95573.2,0.0032246406012101042,61.6378442215147,96185.61428571428,306.20714285714246,,,,
close,short,1739808000000,95573.2,0.0032246406012101042,59.66302825103932,,,1739825100000.0,96185.61428571428,-1.974815970475375,止损
open,short,1739858400000,95256.5,0.0031317037814238046,59.66302825103932,95625.57142857143,184.53571428571428,,,,
close,short,1739858400000,95256.5,0.0031317037814238046,58.50720586256667,,,1739863800000.0,95625.57142857143,-1.155822388472648,止损
open,short,1739893500000,95501.6,0.0030631531755785594,58.50720586256667,96248.35714285714,373.37857142856956,,,,
close,short,1739893500000,95501.6,0.0030631531755785594,58.96453463168056,,,1739921400000.0,95352.3,0.4573287691138878,信号平仓
open,short,1740156300000,98183.1,0.003002784319892148,58.96453463168056,99419.44285714286,618.1714285714291,,,,
close,short,1740156300000,98183.1,0.003002784319892148,64.03323456365851,,,1740219300000.0,96495.1,5.068699931977946,信号平仓
