open_time,open,high,low,close,volume,close_time
1744790400000,577.96,582.22,576.69,581.83,76194.62,1744804799999
1744804800000,581.84,585.5,578.74,583.33,86194.74,1744819199999
1744819200000,583.33,586.53,576.15,584.79,105792.55,1744833599999
1744833600000,584.79,585.7,582.46,582.68,46485.45,1744847999999
1744848000000,582.68,584.64,580.62,581.67,39177.87,1744862399999
1744862400000,581.67,584.74,581.28,583.25,48210.95,1744876799999
1744876800000,583.26,586.77,582.05,586.02,83121.64,1744891199999
1744891200000,586.01,590.39,583.6,589.79,102123.02,1744905599999
1744905600000,589.79,593.0,588.42,590.56,84958.49,1744919999999
1744920000000,590.57,592.67,588.87,590.36,48403.04,1744934399999
1744934400000,590.36,590.58,587.57,590.19,54977.01,1744948799999
1744948800000,590.19,590.25,586.63,588.15,67739.78,1744963199999
1744963200000,588.14,591.6,586.14,591.51,125208.67,1744977599999
1744977600000,591.5,593.98,590.55,593.52,73871.18,1744991999999
1744992000000,593.52,595.5,591.6,592.19,95777.31,1745006399999
1745006400000,592.18,594.5,591.42,591.53,36004.81,1745020799999
1745020800000,591.52,592.99,590.85,592.98,42680.99,1745035199999
1745035200000,592.98,593.97,591.25,592.57,50656.5,1745049599999
1745049600000,592.57,592.9,589.26,590.38,51632.83,1745063999999
1745064000000,590.39,590.68,587.45,588.87,76387.92,1745078399999
1745078400000,588.87,591.16,587.15,590.73,59580.27,1745092799999
1745092800000,590.74,593.53,590.38,591.56,34326.83,1745107199999
1745107200000,591.57,593.56,591.55,592.34,37769.93,1745121599999
1745121600000,592.33,594.85,591.51,593.72,56709.96,1745135999999
1745136000000,593.72,595.0,589.12,589.87,83068.65,1745150399999
1745150400000,589.87,592.13,587.31,587.79,78406.42,1745164799999
1745164800000,587.78,589.5,587.0,589.42,43536.14,1745179199999
1745179200000,589.41,592.98,589.08,592.42,44384.39,1745193599999
1745193600000,592.43,603.0,592.28,601.94,171398.67,1745207999999
1745208000000,601.93,608.49,601.93,604.31,90422.1,1745222399999
1745222400000,604.31,606.37,600.03,600.76,48819.26,1745236799999
1745236800000,600.76,605.62,600.3,603.94,95123.9,1745251199999
1745251200000,603.94,604.46,594.06,597.45,124628.28,1745265599999
1745265600000,597.44,597.45,594.62,596.88,48720.97,1745279999999
1745280000000,596.88,602.45,594.34,599.41,86072.73,1745294399999
1745294400000,599.4,605.04,598.58,603.97,86486.54,1745308799999
1745308800000,603.97,606.81,603.9,605.79,130402.57,1745323199999
1745323200000,605.8,611.98,605.06,609.65,162712.34,1745337599999
1745337600000,609.65,611.1,606.16,607.83,57543.03,1745351999999
1745352000000,607.82,620.26,606.59,618.27,128054.0,1745366399999
1745366400000,618.27,619.77,612.24,615.15,115716.58,1745380799999
1745380800000,615.16,619.94,612.94,617.54,113046.32,1745395199999
1745395200000,617.54,617.55,609.12,611.06,148892.91,1745409599999
1745409600000,611.06,613.96,602.68,606.68,242994.42,1745423999999
1745424000000,606.66,608.68,602.05,602.24,130359.38,1745438399999
1745438400000,602.24,607.0,601.12,605.45,72587.17,1745452799999
1745452800000,605.45,606.74,601.42,603.9,80864.58,1745467199999
1745467200000,603.91,606.79,601.68,602.95,83275.86,1745481599999
1745481600000,602.95,604.88,592.52,597.7,156201.89,1745495999999
1745496000000,597.69,600.76,595.86,598.26,103311.56,1745510399999
1745510400000,598.27,600.6,595.14,598.69,83390.71,1745524799999
1745524800000,598.7,602.49,597.51,601.26,49474.67,1745539199999
1745539200000,601.26,604.0,596.67,600.5,72881.35,1745553599999
1745553600000,600.5,609.61,600.49,605.96,119172.87,1745567999999
1745568000000,605.97,609.91,603.72,605.73,139905.28,1745582399999
1745582400000,605.74,608.66,601.46,605.53,126477.76,1745596799999
1745596800000,605.53,606.74,602.04,604.54,61826.53,1745611199999
1745611200000,604.53,604.56,598.23,599.57,62513.86,1745625599999
1745625600000,599.56,606.0,598.93,601.86,74469.34,1745639999999
1745640000000,601.87,604.9,599.6,602.1,42594.59,1745654399999
1745654400000,602.11,606.14,600.59,602.25,88176.56,1745668799999
1745668800000,602.26,609.33,601.71,608.22,84136.19,1745683199999
1745683200000,608.22,609.56,606.81,608.21,38550.8,1745697599999
1745697600000,608.21,609.17,606.39,607.18,32472.41,1745711999999
1745712000000,607.17,608.68,599.62,602.45,99778.1,1745726399999
1745726400000,602.45,602.45,595.86,599.56,72808.94,1745740799999
1745740800000,599.57,600.83,598.35,600.09,43285.77,1745755199999
1745755200000,600.09,601.12,596.88,599.15,62523.97,1745769599999
1745769600000,599.16,606.28,597.09,605.53,74232.14,1745783999999
1745784000000,605.53,607.26,602.81,603.63,60090.96,1745798399999
1745798400000,603.62,605.96,598.01,603.87,87977.93,1745812799999
1745812800000,603.87,607.03,603.28,605.31,58504.18,1745827199999
1745827200000,605.3,608.16,602.8,607.29,94103.41,1745841599999
1745841600000,607.29,607.76,598.4,600.58,114074.83,1745855999999
1745856000000,600.58,605.32,598.09,604.64,72625.34,1745870399999
